date,stock_code,price,amount,volume,per,eps
20240612,395400,4885,1319598136915,725629,5614.942528735633,0.87
20240612,402340,89800,12100546408000,494368,-9.828171172157163,-9137.0
20240612,403870,40250,3338099296000,763936,40.69767441860465,989.0
20240612,417200,28150,1904422350850,3026902,131.5420560747664,214.0
20240612,440110,21500,1057188110000,617831,-16.88923802042419,-1273.0
20240612,443060,145200,6454140000000,649497,38.43303335097936,3778.0
20240612,450080,133000,9175033994000,1728807,1564.705882352941,85.0
20240612,454910,86200,5587482276000,5572168,-287.3333333333333,-300.0
20240612,457190,56500,1706767820000,526657,-252.2321428571429,-224.0
20240612,950160,14490,1076247937800,152639,-59.87603305785124,-242.0
20240611,000080,20650,1448259067150,607085,41.3,500.0
20240611,000100,75800,6079847051200,876806,45.33492822966507,1672.0
20240611,000120,100700,2297203040800,46909,10.21920032474122,9854.0
20240611,000150,202000,3337814670000,74448,-11.13991066012243,-18133.0
20240611,000210,59500,1246875098000,84733,-10.09501187648456,-5894.0
20240611,000240,15120,1435420828800,54964,7.667342799188641,1972.0
20240611,000250,123500,2896997792000,1062574,-278.7810383747178,-443.0
20240611,000270,122000,48782726874000,1214447,5.604042259990813,21770.0
20240611,000400,3755,1165312881600,1977108,3.863168724279836,972.0
20240611,000660,212500,154700502562500,3070163,-16.97691140049533,-12517.0
20240611,000720,32900,3663604668500,419751,6.901615271659325,4767.0
20240611,000810,334500,15846882976500,78374,9.301743555518478,35961.0
20240611,000880,26400,1978910604000,223147,6.793618116314977,3886.0
20240611,000990,42700,1895819707600,219402,7.195820694304011,5934.0
20240611,001040,132000,3851363736000,135014,24.16697180519956,5462.0
20240611,001120,29350,1137606000000,281522,9.715326050976499,3021.0
20240611,001440,15420,2875017366000,4405939,30.0,514.0
20240611,001450,32600,2914440000000,324051,4.794822768054126,6799.0
20240611,001570,89600,5201283315200,648697,-86.15384615384616,-1040.0
20240611,001720,73500,1208340000000,3486,8.470669586262533,8677.0
20240611,001740,4775,1056601982050,814347,-1591.666666666667,-3.0
20240611,002380,280000,2488211880000,34490,11.70030504366721,23931.0
20240611,002710,61000,1599035517000,608916,-206.0810810810811,-296.0
20240611,002790,34450,2840684301000,197527,27.71520514883347,1243.0
20240611,003230,590000,4444478850000,169084,35.20076367758487,16761.0
20240611,003410,7000,3106508062000,176604,16.01830663615561,437.0
20240611,003490,22150,8156087641150,909979,7.709711103376262,2873.0
20240611,003550,79800,12552619241400,135828,10.14363798144147,7867.0
20240611,003620,5460,1065973293840,172995,113.75,48.0
20240611,003670,286000,22154480920000,702289,770.88948787062,371.0
20240611,003690,7970,1317979182220,302812,4.641817122888759,1717.0
20240611,004000,47300,1220340000000,62685,6.70446491849752,7055.0
20240611,004020,28600,3816549451000,576578,8.275462962962964,3456.0
20240611,004170,160600,1581136068600,30930,7.023835556527444,22865.0
20240611,004370,533000,3242048186000,78100,18.85924563017479,28262.0
20240611,004490,108000,1512000000000,70784,12.93723047436512,8348.0
20240611,004800,59300,1213653606200,573310,19766.66666666667,3.0
20240611,004990,25050,2627976386850,245801,-172.7586206896552,-145.0
20240611,005070,170800,5552837124800,507077,198.1438515081207,862.0
20240611,005180,109000,1073785269000,745609,12.45429616087751,8752.0
20240611,005290,42300,2174833096200,350895,17.08400646203554,2476.0
20240611,005300,132600,1230380018400,21616,8.036850718225347,16499.0
20240611,005380,271000,56751787761000,967240,6.217164881047971,43589.0
20240611,005385,160000,3819518080000,70824,,
20240611,005387,162000,5793021342000,91329,,
20240611,005420,32450,1246346998600,352280,-43.09428950863214,-753.0
20240611,005490,380000,32137067400000,344972,18.9252452811395,20079.0
20240611,005830,105100,7441080000000,155352,4.280013031438345,24556.0
20240611,005850,39000,1811492280000,240273,5.399418524158937,7223.0
20240611,005930,75200,448927647760000,16971175,35.28859690286251,2131.0
20240611,005935,61400,50525243380000,1309767,,
20240611,005940,11900,3897158358100,210151,7.498424700693132,1587.0
20240611,006040,34850,1255363040750,24151,7.51563510890662,4637.0
20240611,006110,96300,1416757510800,169760,408.0508474576271,236.0
20240611,006260,146600,4720520000000,490370,10.82797843267597,13539.0
20240611,006280,119100,1391866675800,23640,-52.25976305397104,-2279.0
20240611,006360,14640,1252913013600,205864,-2.599893446989877,-5631.0
20240611,006400,392500,26990078025000,336622,13.74925561354958,28547.0
20240611,006650,158000,1027000000000,86873,-35.36257833482543,-4468.0
20240611,006800,7070,4208887004560,569363,16.44186046511628,430.0
20240611,007070,21800,2282850699600,151303,128.9940828402367,169.0
20240611,007310,486000,1947805380000,16771,12.14848143982002,40005.0
20240611,007660,47950,3032665791050,1739374,63.50993377483444,755.0
20240611,008770,56000,2197894776000,107428,26.05863192182411,2149.0
20240611,008930,31250,2137235937500,76111,18.98541919805589,1646.0
20240611,009150,149700,11181646291200,298638,27.46788990825688,5450.0
20240611,009240,54300,1277892290400,17062,-20.56039379023097,-2641.0
20240611,009420,33350,1742225277300,218650,497.7611940298507,67.0
20240611,009540,133700,9462365609200,186538,42.67475263325885,3133.0
20240611,009830,32350,5560723539600,4022195,-27.62596071733561,-1171.0
20240611,009970,81200,1107210070400,17747,2.978504878585577,27262.0
20240611,010060,93000,1819450419000,48120,2.581970626613732,36019.0
20240611,010120,194800,5844000000000,483031,28.37581937363438,6865.0
20240611,010130,498000,10310234934000,34609,19.05855338691159,26130.0
