stock_code,name,market_type,region
008700,아남전자,KOSPI,Korea
008730,율촌화학,KOSPI,Korea
008770,호텔신라,KOSPI,Korea
008830,대동기어,KOSDAQ,Korea
008870,금비,KOSPI,Korea
008930,한미사이언스,KOSPI,Korea
008970,동양철관,KOSPI,Korea
009070,KCTC,KOSPI,Korea
009140,경인전자,KOSPI,Korea
009150,삼성전기,KOSPI,Korea
009160,SIMPAC,KOSPI,Korea
009180,한솔로지스틱스,KOSPI,Korea
009190,대양금속,KOSPI,Korea
009200,무림페이퍼,KOSPI,Korea
009240,한샘,KOSPI,Korea
009270,신원,KOSPI,Korea
009290,광동제약,KOSPI,Korea
009300,삼아제약,KOSDAQ,Korea
009310,참엔지니어링,KOSPI,Korea
009320,대우부품,KOSPI,Korea
009410,태영건설,KOSPI,Korea
009420,한올바이오파마,KOSPI,Korea
009440,KC그린홀딩스,KOSPI,Korea
009450,경동나비엔,KOSPI,Korea
009460,한창제지,KOSPI,Korea
009470,삼화전기,KOSPI,Korea
009520,포스코엠텍,KOSDAQ,Korea
009540,HD한국조선해양,KOSPI,Korea
009580,무림P&P,KOSPI,Korea
009620,삼보산업,KOSDAQ,Korea
009680,모토닉,KOSPI,Korea
009730,이렘,KOSDAQ,Korea
009770,삼정펄프,KOSPI,Korea
009780,엠에스씨,KOSDAQ,Korea
009810,플레이그램,KOSPI,Korea
009830,한화솔루션,KOSPI,Korea
009900,명신산업,KOSPI,Korea
009970,영원무역홀딩스,KOSPI,Korea
010040,한국내화,KOSPI,Korea
010060,OCI홀딩스,KOSPI,Korea
010100,한국무브넥스,KOSPI,Korea
010120,LS ELECTRIC,KOSPI,Korea
010130,고려아연,KOSPI,Korea
010140,삼성중공업,KOSPI,Korea
010170,대한광통신,KOSDAQ,Korea
010240,흥국,KOSDAQ,Korea
010280,쌍용정보통신,KOSDAQ,Korea
010400,우진아이엔에스,KOSPI,Korea
010420,한솔PNS,KOSPI,Korea
010470,오리콤,KOSDAQ,Korea
010580,에스엠벡셀,KOSPI,Korea
010600,웰바이오텍,KOSPI,Korea
010620,HD현대미포,KOSPI,Korea
010640,진양폴리,KOSPI,Korea
010660,화천기계,KOSPI,Korea
010690,화신,KOSPI,Korea
010770,평화홀딩스,KOSPI,Korea
010780,아이에스동서,KOSPI,Korea
010820,퍼스텍,KOSPI,Korea
010950,S-Oil,KOSPI,Korea
010960,삼호개발,KOSPI,Korea
011000,진원생명과학,KOSPI,Korea
011040,경동제약,KOSDAQ,Korea
011070,LG이노텍,KOSPI,Korea
011080,형지I&C,KOSDAQ,Korea
011090,에넥스,KOSPI,Korea
011150,CJ씨푸드,KOSPI,Korea
011170,롯데케미칼,KOSPI,Korea
011200,HMM,KOSPI,Korea
011210,현대위아,KOSPI,Korea
011230,삼화전자,KOSPI,Korea
011280,태림포장,KOSPI,Korea
011300,성안머티리얼스,KOSPI,Korea
011320,유니크,KOSDAQ,Korea
011330,유니켐,KOSPI,Korea
011370,서한,KOSDAQ,Korea
011390,부산산업,KOSPI,Korea
011420,갤럭시아에스엠,KOSPI,Korea
011500,한농화성,KOSPI,Korea
